,sentences,0
460,the apple applications exiphoto are fun easy and really cool to use unlike the competition,0
461,not to mention it has shit gigs,1
462,i paid for extra memory and the #inch screen as well as the top of the line dvd and cd burners,0
463,its pretty fast and does not have hiccups while i am using it for web browsing uploading photos watching movies #p on occasion and creating presentations,0
464,quality display  i love hp its the only computerprinter we will buy,0
465,despite the inconvenient weight i opted for the # cell battery,0
466,the case is carved out of a single block of aluminum,2
467,     first it burned or fused the power adapter plug,1
468,the features are great the only thing it needs is better speakers,2
469,it was still working but there was nothing on the screen,1
470,i bought this laptop and found its tab is not functioning,1
471,  toshiba is aware of the issue but unless the extended warrenty is bought toshiba will do nothing about it,1
472,called headquarters again they report that tft panel is broken should be fixed by the end of the week week #,1
473,navigation through the computer is far superior compared to windows operating systems as well,2
474,the screen is framed by half to a fullinch margin that is obviously unnecessary reduces the screen size and increases the bulk,1
475,though the picture video and music software is nowhere close to professional grade software im used to cs# but does the job for beginner and even intermediate media designers,1
476,the much lauded combined touch pad and clicker is a nightmare,1
477,the unibody construction is solid sleek and beautiful,0
478,this macbook is an outstanding product with great value,0
479,i had to reinstall windows within two weeks of the purchase and soon discovered cracks in the screen hinges,1
480,a second problem involves the battery which is advertised as having a storage life of # hours but when fully charged shows only # hours of service,1
481,and plenty of storage with # gbthough i will upgrade this and the ram,0
482,no temporary replacement they are out of replacements because many computers had problems with the nvidia chipsetinquired status of repair,1
483,i took it to friend who temporarily fixed it and i finally paid about # for the extended warranty,2
484,programs would crash all the time and it turned out to be a very unstable unreliable laptop for me,1
485,i bought this lap top and the charge time dosent last as long as they say it will more like # hours,1
486,also because of the size and consistancy of the laptop computer some websites wouldnt even attempt to work on the computer because of browser problems,1
487,the key bindings take a little getting used to but have loved the macbook pro,1
488,keyboard is reasonable size,0
489,i find myself using the #key more than i thought i would,0
490,fan noise the fan made a constant hissing noise in the background,1
491,the screen is bright and clear the operating system is solid and friendly to a novice,0
492,it has a # ghz faster processor and a stock #gb hard drive,0
493,the feature are good enough for what i need,0
494,finally the biggest problem has been tech support,1
495, this isnt a big deal i havent noticed the issue with dvds or other media only through usb output,1
496,with windows laptops a wireless mouse is an absolute must,2
497,i had been a windowslinux user before this i love the size because the screen is big enough for what i use it for internet artwork and yet it is small enough to be reasonably portable,0
498,but if youre willing to pay another # dollar for a windows disc,2
499,very good quality and well made,0
500,i bought a logitech desktop set in anticipation for using with the mbp but i use the touchpad # of the time,0
501,my niece and nephew have played a few web games and it runs anything that doesnt require a dedicated video card,2
502,it had the full sized touch pad with # buttons instead of just one,2
503,typically when i purchase a new laptop i always end up using an external mouse for convenience,2
504,it was super easy to set up and is really easy to get used to,0
505,the only thing that can be updated is the video other than that youre all set,1
506,its a good laptop for its value,0
507,then the hard drive failed,1
508,plain and simple itlaptop runs great and loads fast,0
509,of course my warranty runs out next month,2
510,the capabilities using that program alone made me want a mac,0
511,if you ever see the spinning beachball come up when you think it shouldnt check the activity monitor app to see if the disk throughput has temporarily dropped to zero,1
512,i have found also it is very easy to be able to access wireless internet access,0
513,this is a great value for the money,0
514,it was a great laptop ran great and was really fast,0
515,the battery has never worked well,1
516,i will never buy another computer from dell ever again do to how awful it worked and how i was treated by the company,1
517,the only problem is a lack of screen resolutions,1
518,small enough to use on a long flight light enough to carry through airports and powerful enough to replace my desktop while on long business trips,0
519,typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on,1
520,it has many great programs such as ilife iphotos and others,0
521,the processor went on me the fan went and the motherboard went,1
522,it is very well built,0
523,i highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door,0
524,the screen resolution was exactly what i was looking for,0
525,even though it is running snow leopard # ghz c#d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel,1
526,there is no number pad to the right of the keyboard which is a bummer,1
527,after # min the screen of the notebook switched off,1
528,if upgrade is possible to the full windows # then i will truly be a very happy geek,0
529,i was originally concerned that i couldnt view work i had done in college on my mac because of the pc formatting but i was even more thrilled to learn of programs like ilife and iwork that allow you to convert your pc documents into readable files on macs,0
530,it is a big big but since it has a # screen what would you expect,2
531,# hours of battery life is really something else,0
532,runs fast and the regular layout keyboard is so much better,0
533,all the programs are easy and straight forward on my macbook pro it is clean and organized which i always strive to be myself,0
534,i reinstalled windows through the recovery discs and everything seemed good again,0
535,windows # starter is terrific no you cant change the background but i dont need to i use it just for school work,0
536,support has been lackluster and now i just want a refund,1
537,first of all they had no record of me having the # year warranty id paid almost # for and i had to call in spend hours on their online chat service and fax in multiple documents,1
538,  iphoto is probably the best program i have ever worked with easy and convenient,0
539,i love to write and play with graphics and html programming and my new toshiba works great on both,0
540,my laptop now has no battery,1
541,beta had better quality but vhs became the industry standard,2
542,it made the computer much easier to use and navigate,0
543,if you buy this  dont go into it expecting # hrs of battery life and youll be perfectly satisfied,1
544,needs longer lasting battery more than # to # hrs,1
545,in may i started having problems with the usb ports not working,1
546,# plus hours of battery,0
547,the design is awesome quality is unprecedented,0
548,the mac version of microsoft office is cheaper than buying the actual and works just as well,0
549,the mac takes about the same amount of startingup time as the average pc but keeps itself cleaned up and ready to use,0
550,the toshiba net book operates very well,0
551,the touch pad is fine  again its a real touch pad,0
552,the pictures are clear as can be,0
553,it is also very lightweight making transporting this computer very easy,0
554,its wonderful for computer gaming,0
555,you have to toss out the wifi card and replace it just to have any sort of network capability,1
556,and the best part is that it even comes with a free printer when they have a certain promotionoffer going of course,0
557,it is very easy for anyone to use an apple and specially the mcbook pro notebook,0
558,the flaws are this computer is not for computer gamers because of the os x,1
559,they really do have the worlds very worst repair service,1
560,they need to stop outsoucing and send some complaint calls to us based customer service agents for those who live in the united states,1
561,  i was also able to install and use my photoshop and aftereffects programs easily,0
562,its perfect for everything and runs faster than an average pc,0
563, then after paying for it to be examined i was told it was same problem cited on website but id have to pay anyways since it was past warrenty,1
564,im already hooked on the sleek look and dependability that this laptop has shown,0
565,and having to deal with the company has been a even worse nightmare,1
566,  i will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when i do so i dont run accross a situation like this again,2
567,it has all the features that are necessary for college and if not they are able to be added onto the computer,0
568,ive owned this labtop for less then two months already the mouse button has broke,1
569,it did fairly well other than its poor performance overheating and occational blue screen,1
570,the touchpad is very intuitive so much so that i never want to use buttons to click again,0
571,tons of bloatware and junk programs,1
572,lots of extra space but the keyboard is ridiculously small,2
573,its so bad that im thinking i only got half a battery or something,1
574,good keyboard long battery life largest hard drive and windows #,0
575,the processor is very quick and effective as i load webpages and applications,0
576,my battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars,1
577,it pretty much does everything we could ever need and looks great to boot,0
578,as a lifelong windows user i was extremely pleased to make the change to mac,1
579,the macbook is also made better my computer has never got a virus and the laptop runs just as fast as the first day i bought it,0
580,i wiped nearly everything off of it installed openoffice and firefox and i am operating an incredibly efficient and useful machine for a great price,0
581,overall i feel this netbook was poor quality had poor performance although it did have great battery life when it did work,1
582,i picked it out because it was inexpensive # and i thought it would be a good easy to use first laptop,0
583,my only problem is i can not reg the product key,1
584,pay attention to the specs if you want these options,2
585,it also does not have bluetooth,1
586,sure it has the one touch keys but that was the best feature of the computer,0
587,great battery life,0
588,the real stand out on this computer is the feel of the keyboard and its speed,0
589,at first the computer seemed a great dealseemingly highend specs for a low low price,0
590,delivery was early too,0
591,love the stability of the mac software and operating system,0
592,and that probably explains why ive already had my sata controller go bad within a year of buying it,1
593,its also very capable of doing moderate video editing although you may need the performance boost of the larger macbook pros for heavy duty mobile video editing,2
594,my main reason to convert was the imovie program,0
595,it has a faster processor and more ram,0
596,laptops are usually used on the go so why not give you a better battery,1
597,i will never complain about the price since i believe you get what you pay for and my macbook pro was worth every dollar,2
598,i wasnt a big fan of the netbooks but this one was very well designed,0
599,and the warranty on this macbook pro can last up to # years or # battery recharge cycles,0
600,i still have that stupid bluetooth mouse to,1
601,would like more trendy high tech features,1
602,keyboard is great but primary and secondary control buttons could be more durable,2
603,screen is a bit glossy but thats not too bad,2
604,i got it back again and was told the motherboard had been replaced so i was now on the second motherboard within # months,1
605,processor  when compared to my # week old early # edition there i barely experience any difference in performance # ghz vs # ghz,2
606,they say it could be the motherboard again but dell,1
607,#nd best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,1
608,love the speed especially,0
609,it could be a perfect laptop if it would have faster system memory and its radeon # would have ddr# instead of ddr#,1
610,not only are the versions of these programs able to be saved worked on and opened on both a pc and mac the versions of these programs on a mac are graphically and functionally superior,0
611,the speed gives you the power to work on these projects seamlessly and multiple at a time if you sowish,0
612,awesome laptop and the perfect size to carry around in college,0
613, a month later we reinstall the os vista,1
614,some problems can be fixed if you purchase new software but there is no guarentee,1
615,my real problem with it the statement of # hour battery life is not just mere exaggeration  its a lie,1
616,the battery life is also relatively good,0
617,  i definitely suggest getting an extended warranty you will probably need it,0
618,i have found it very easy to use very imformative wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs,0
619,i dont have stupid pop up windows even when i have pop ups blocked i dont have to wait # minutes for a webpage to download and best of all i can run all the web programming software i need to use all at once without slowing me down,0
620,memory is upgradable,0
621,web access through the #g network is so slow its very frustrating and very disappointing,1
622,the large screen also helps when you are working in design based programs like adobe creative suite,0
623,moral of the storydo not buy anything from companies that do not respect their customers,1
624,this is my first dell i heard their customer service was lacking and that they were working on improving it,1
625,as well as having the plug in the computer come loose,1
626,second hdd cover has walls inside that need to be broken if you what to install one,2
627,if you want more information on macs i suggest going to applecom and heading towards the macbook page for more information on the applications,2
628,great product by apple with the new great looking design,0
629,i love the keyboard,0
630,i use iphoto all the time which is a great program for anyone who is into photography  amateurs and experts alike,0
631,the screen isnt huge but that doesnt matter when i output media to the # inch lcd tv,2
632,i will have to purchase spy ware or nortell for privacy protection,2
633,i was said its videocard,1
634,for the price and what i get out of it has exceeded my expectations,0
635,if your time is worth anything to you if you are tired of rebooting reformatting reinstalling trying to find drivers if you want a computer to work for you for a change make the change to this computer,1
636,the only thing i wish is the # inch macbook pro has much better speakers on the side of the keyboard,1
637,  now as easy as it is to use and i do think it is a great starter laptop,0
638,setting would change for some reason the screen size would change on its own like the pixel sizes and whatnot,1
639,it had some kind of pre installed software update that completely shut the computer down when you clicked it,1
640,ever since i bought this laptop so far ive experience nothing but constant break downs of the laptop and bad customer services i received over the phone with toshiba customer services hotlines,1
641,also the space bar makes a noisy click every time you use it,1
642,iphotos is an excellent program for storing and organizing photos,0
643,other than that its a great performing machine and well meets all my needs and more,0
644,called tech support and got the usual acer we dont support software but for  we can help you i explained there was no software involved in booting,1
645,the programs are great like iphoto love the editing capabilities imail which can incorporate with the address book on the ipod and ipad imovie etc,0
646,the only thing i didnt learn in my research was the software i would need like privacy protection and warranty protection in case it gets broken or crashes etc,2
647,comfterbale to use light easy to transport,0
648,the computer itself is a good product but the repair depot stinks,1
649,i thought the price was great for the specs,0
650,the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have,1
651,so the hard disk capacity really doesnt matter to me,2
652,keys stick periodically and i havent had the laptop for # days yet,1
653,i also like that you can scroll down in a window using two fingers on the trackpad,0
654,everything from the design to the os is simple and to the point,0
655,iv spent as much for shipping as i would to buy a new netbook  of course a different brand,1
656,i personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers,0
657,this just keeps having its hard drive replaced,1
658,when you look at the specs on apple products in comparison to a dell or a hp yes they do seem to offer less for a higher cost,1
659,the only downfall is the volume control,1
660,very fast boot up and shut down,0
661,i finally decided on this laptop because it was the right price for what i need it,0
662,if internet connectivity is important i would recommend going with a dell net book for # bucks more or buy a usb wireless card,2
663,i had read online that some users were having sound problems,1
664,my last computer a toshiba cost only # and worked like a charm for many years,0
665,it discharges too quickly,1
666,but to be honest the compatibility issues and the other little quirks make me think i ll buy a pc next time,1
667,then it ceased charging at all,1
668,i do not experience a lot of heat coming out of it however i would highly suggest purchasing a stand however due to the nature of the design of the macbook as it is one very large heat sink,1
669,webcam is a bit laggy not the greatest,1
670,i am not much of a computer techie so i can understand some of the internal problems though i do have trend micro as an antiviral program,2
671,the computer continued to give me issues and in late june it completely died again and i tried to call acer again to get it fixed and they refused to help me they said my warrenty was up and hung up on me,1
672,ive havent had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off,1
673,wonderful sleek case design is only on the outside,0
674,it is speedy when connected wirelessly to any network regardless if the connection is weak or not,2
675,the pricing is very competitive,0
676,connecting to my wireless router via builtin wireless took no time at all,0
677,this computer is exceptionally thin for its screen size and processing power,0
678,i have not had a problem with the applications quitting or freezing,0
679,maybe this is virus related maybe not but the computer has locked up many times and on two occasions the screen has simply gone black,1
680,this wiped out several programs that were installed on the computer when it was bought,1
681,its graphics arent bad at all for the lower end of the macbook pro spectrum easily capable of running starcraft ii and other games with comparable graphics,0
682,i have vista so i am unable to install and uninstall  some programs,1
683,the screen is bright and vivid and the keyboard is very easy to use very important for use quick typers,0
684,the mouse jumps around all the time and it clicks stuff i dont want it too,1
685,for those that care about noise this thing doesnt really make any,0
686,i had my iworks itunes email ms office network and printers set up and completely working perfectly within an hour,0
687,the macbooks are small enough to be very portable yet hold tons of information and performance,0
688,the only downfall is a lot of the software i have wont work with mac and iwork is not worth the price of it,1
689,whenever tried to turn it on it would restart as soon as the bios launched windows or winblows as i like ot call it,1
690,but theres this application called boot camp which allows you to add another os x like windows,2
691,the mousepad is a huge pain in the arse,1
692,i hope to edit this in the next few hours i am going to try to install my own copy of windows #,2
693, i also purchased  applecare  for # which is a three year extended warranty since i ve never seen any laptop that lasted more than two,2
694,i run windows via bootcamp for the couple programs i do not want to buy a mac version of like my cad programs,2
695,whenever i call dell about an unrelated problem they ask me if my laptop is running slowly and if id like to purchase more memory for #,2
696,  since then i have had minor problems with slow operation,1
697,registration#st use is easy,0
698,take your time and go through the tutorials patiently,2
699,  this time the mouse pad and right click key wouldnt work,1
700,the first full charge of this battery got me only about # full hours,1
701,i bought a cordless mouse for it but dont always take it out,0
702,i am a huge computer person i love anykind of computer that works well but when i got this one i was so happy with the way it works and how it runs its amazing,0
703,it took toshiba tech support # calls and # different techs to correct the problem,1
704,they only stay charged a little over an hour,1
705,the # usb ports are nice but the two on the side only work now and then,2
706,  i could not find a phone number anywhere to call an actual live person for tech support and had to result the their online chat,1
707,keyboard could use some trimming,1
708,its white color is stylish for college students and easy to take to carry and take to classes,0
709,returned laptop for repair a #nd time and it came back with obvious physical damage keyboard bulging and speaker grill pressed in buttons not working and usb ports inoperative,1
710,when i am next to my router on my hp i get full service on my eee pc i get # bars,2
711,i got assurances from # different people that the remaining # months of my warranty would transfer to the new computer,0
712,the letter a stopped working after the first week,1
713,this is what i call a good after sales service,0
714,i took off a star because the machine has a lot of junk software on it,1
715,with what i do know how to do the computer works beautiful,0
716,tried to make a recovey disk wouldnt get passed the first recovery disk,1
717,most everything is fine with this machine speed capacity build,0
718,for the same price you get a lot more in the asus#x# res,1
719,i made a photo book as a gift on my computer pushed buy and it drew from my itunes account and sent the book to my house the book was of perfect qualityexactly how i had created it and looked better than i had even imagined,2
720,i use this for my tutoring business and since im always bouncing from student to student it is ideal for portability and battery life yes it gets the # hours as advertised,0
721,it is in the best condition and has a really high quality,0
722,when it come time for warranty service to toshiba you dont matter,2
723,  however the frozen screens kept happening,1
724,it is short on space and downloads always had problems being completed or were said to be corrupted,1
725,# horrible customer support,1
726,the led backlit display makes my pictures pop so much more,0
727,apple is always great about the aesthetics of things they always come up with good looking products,0
728,runs smooth and quick,0
729,the downside to this netbook is pretty much the same for any netbook screen size is not something id stare at for the entire # hours of battery life five days a week,2
730,the graphics are great,0
731,in # months the connect quality got worse and worse,1
732,the big screen allows you to enjoy watching movies  pictures and etc,0
733,the headphone and mic jack are in front of touchpad making the touchpad hard to use when using headphonesmic not to mention the laptop was designed for right handed person,1
734,for the  price special offer this is a great laptop,0
735,the manufacturers warranty only covers replacementrepair of parts,1
736,what id like is for the laptop to run well without having to purchase additional memory,1
737,it works exactly like it did the day i took it out of the box,0
738,it is fast booting up  shutting down and connection with the internet,0
739,the battery life is great,0
740,this is not a serious gaming laptop or a serious media machine,1
741,  they replaced my hard drive as well as my mother board,2
742,there is nothing to complain about the system,0
743,and it comes with the new osx that comes with new features that makes the use more easy,0
744,now the screen is going darker darker darker,1
745,either the computer is too slow to detect the keys typed this is unlikely as i am a slow typist or the keyboard simply does not detect the keys being typed,1
746,features such as the dashboard allows you to view frequently used tools like a calculator weather forecast movie times calendar computer post its etc,2
747,when i called to have another one shipped or to get my money back they said the return policy is # twenty three days from the date of purchase,1
748,  i sent it back and found this time that the battery was faulty so i got a new one and some other fixes they found,1
749,great pick for portability and affordability,0
750,its fast its easy easy easy to set up easy to hook to my wireless network,0
751,i previously purchased a # macbook had pro specs and was aluminum style which had a nvidia # if i am not mistaken and it had major heating issues,0
752,the people there just changed for me on the spot and i got a new arm piece and they didnt even request for a receipt,0
753,i take it everywhere with me because its so easy to carry,0
754,the only thing is that the battery wont last more than # an hour,1
755,the first fell apart right after the #yearwarranty,2
756,oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all i use the old word processer which works good,0
757,the keyboard has a wonderful nature feel,0
758,they went through asking me open up various components taking battery out hard disk apart and after # hours on phone could not fix it,2
759,the battery doesnt last long but im sure an upgrade battery would solve that problem,2
760,i was looking too closely at the other performance specs and while comparing i took it for granted that these features were standard,2
761,i have no idea how this could have even gotten past quality control during production,1
762,i bought this last week and the very next day had to return it because it over heated and the touchmouse stopped responding,1
763,oh yea has no numeric pad on the side,1
764,the cover for the dvd drive soon came off tooa mark of poor construction quality,1
765,but the arm velcro is torn after one use,1
766,the software is amazing,0
767,we carry the netbook around here and there hence its kinda of irritating when the lcd just slide downwards,1
768,the # gb of ram is plenty able to run windows # and at least # or # other programs with next to no slowdown,0
769,the battery life is amazing the versitility is outstanding,0
770,it is known as safari and if you are doing any website work you should know that many hosting companies do not support it,2
771,vista is a nightmare,1
772,the program came with the computer and works beautifully,0
773,the hinge design forced you to place various connections all around the computer left right and front,1
774,i was loving this netbook because it had an amazing screen and display and was small and light but after # week it stopped openning web pages for me even after installing new browsers then eventually it just started giving me a blue screen and crashing everytime i booted it,0
775,the so called laptop runs to slow and i hate it,1
776,charger seems large for this class of computer,1
777,i dislike the quality and the placement of the speakers,1
778,the screen graphics and clarity and sharpness are great,0
779,so i called customer support which is good too and they went through it and it is just a safety feature and it does not affect performance at all i just chose to hide the message,0
780,the unibody design is edgy and durable,0
781,stopped booting up less than a week after my oneyear warranty was up,1
782,but for the cost this is a winner,0
783,later it held zero charge and its replacement worked for less than three months,1
784,  also the battery does not last very long at all,1
785,i bought it from hsn because it was bundled with extra software but as it turns out that software just crashes it more often,1
786,i looked around and based off my pricefeatures comparison from a brand i trusted i landed here,2
787,  i constantly had to send my laptop in for services every # months and it always seems to be the same problem that they said they had already fixed,1
788,strong performance in this device makes use of fun and a strong sense of the era of speed this device serves all modern requirements is a very strong game and is very useful for designers,0
789,unless you need the bluetooth #,2
790,i was sorly disapointed to discover that hp what i thought was a reputable company wouldnt honor the warrenty when the fan blade fell apart,1
791,more times that not the screen pops up saying i have a bad internet connection or the page cant be displayed,1
792,do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop,1
793,i dont understand why only windows # starter is included,1
794,while most people say that pcs hold functionality and value and macs are just pretty to look at i think theres something to be said about the simplicity of macs,0
795,my macbook is so much better looking and so thin,0
796,the ease of use is wonderful,0
797,this system came loaded with windows # starter,2
798,when battery life went to # hours or less took it to the machouse amsterdam for repair #th of august,1
799,the battery gets so hot it is scary,1
800,best thing is i can use existing # bit old programs,0
801,its so nice to look at and the keys are easy to type with,0
802,i am forever changed and will no longer buy a windows based machine for personal use,1
803,the only thing i would change about it is the mouse keys,1
804,it is absolutely horrible to use despite all its so called advanced features,1
805,before i reloaded with windows # ultimate and used only the downloaded drivers from acers site,2
806,i have to keep turning it until it decides to lower and there is no mute,1
807,its still beautiful and has better color reproduction than i could ever expect from a notebook,0
808,after that i turned to email in my next vain help to get them to acknowledge that the warranty was still valid,2
809,he loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started,0
810,u can do what u want in just few seconds even to start up your computer takes few seconds,0
811,also macbooks come with much more features which are so cool,0
812,they sent out a sony certified technician,2
813,they have developed excellent proprietary software for editing video and pictures and im looking forward to utilizing these tools on the regular,0
814,getting the apple care plan is a must,0
815,overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive,2
816,i am constantly trying to uninstall programs clean cookies and delete unused files,2
817,the dv# boasted a faster processor more memory and a bigger hard drive than my old computer plus a better quality web cam nicer screen and many other features,0
818,the only downfall is the battery only last # hrs when not plugged in,1
819,the graphics on this computer are also stellar  very clear and vivid,0
820,aside from the trial software and the short battery life lack of a webcam its great,1
821,as a diehard windows enthusiast i shunned the idea of a mac until this point,0
822,i think that if it is the motherboard again so soon that they should replace it,1
823,the computer loads in about a #th of the time that my pc did and i have all of the programs that were on my pc,0
824,graphics are clean and sharp internet interfaces are seamless,0
825,the newer black keyboard took a little bit away from the previous gray one which looked really slick but it is still a great notebook,1
826,sony parts reliability and quality of service is recenlty the worst,1
827,as with any laptop not purchased with software options it comes with a lot of what i consider useless applications,1
828,its office compatible but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs,0
829,it just works flawlessly,0
830,do you think i purposely destroy my netbook so that i can demand a new set do you think its fun to take public transport all the way to the service center and get a nonsatisfactory solution or rather no solution,1
831,im having the laptop returned unrepaired since paying # every #  months just isnt worth it thats about how long the port seems to  last,1
832,  also the battery is completely shot,1
833, awesome cooling system much better grafics card ati #  #gb ram led backlit screen,0
834,the biggest problem is that the box had no instructions in it,1
835,but after using it a couple of weeks the overall operation is poor,1
836,compared to similarly specd pcs this machine is good value well built and works easily right out of the box,0
837,screen is crystal clear and the system is very responsive,0
838,i will stack it up against laptops that cost twice as much any day,2
839,or the cursor would show up some place else,1
840,it is easy to operate and i have already ordered more software and gadgets for my new rolls royce of laptops,0
841,it might be something deep within windows for i was unable to create a disk image on my hard drive,1
842,the track pad to me is what really stands out though you can do several different things with it just depending on how many fingers you use on the track pad awesome thinking apple,0
843,  now i had not tried to use this since the disc drive had been replaced and after taking it back to the geek squad i found out they had accidently not used the right drive when they replaced the first one so back it went to get the correct drive,1
844,first you ll discover that the word processing program known as  appleworks  rarely translates perfectly on anyone else s computer if it translates at all,1
845,i already have a hp laptop i bought last year thats standard size,2
846,battery is not upgradable to a longer life battery,1
847,apple has a reputation and is well known for its easy usage,0
848,returned laptop for a #rd repair and it came back with previous problems fixed except for speaker grill but the unit started locking up during use and eventually would not operate at all,1
849,i just plug this into my # monitor and the speedy macosx performs just as well on this dualcore that my dell did with windows # with a quadcore,0
850,love the graphics awesome programs including garageband and really cool default background,0
851,screen keyboard and mouse if you cant see yourself spending the extra money to jump up to a mac the beautiful screen responsive island backlit keyboard and fun multitouch mouse is worth the extra money to me alone,0
852,the os takes some getting used to especially after being a windows user for so long but the learning curve is so worth it,2
853,i also purchased iwork to go with it which has programs for word processing spreadsheets and presentations similar to microsoft office,2
854,overall i experienced a huge change in that my mac runs pretty fast compared to my old pc,0
855,when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem,2
856,it also came with a built it web cam which is great because i can see an communicate with my family members back home,0
857,good monitor and performed well,0
858,it was secure and easy to navigate,0
859,i was a little weary at purchasing another # macbook almost # years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around,0
860,the machine has a bluray player the book has no mention of it or how to connect it to your hdtv,1
861,they are by far the easiest systems to actually learn about computers with,0
862,this apple navigates you thru the unexplored world of the internet,2
863,the video card is great for media and above average for gaming but not a gamers first choice,0
864,i had of course bought a # year warranty so i sent it in to be replaced and almost # months later the dv# is what the sent me as a replacement,2
865,apparently there is a manufacturing defect something with the amount of thermal paste,1
866,despite the claims of the apple apologists a vice of which i am recently myself reformed the internals of mac laptops are no different from pcs at this point,1
867,took several hours with customer support before i could even start the pc out of the box,1
868,asus facial recognition doesnt work and windows logon isnt either,1
869,windows vista makes this computer almost unusable for online service,1
870,i contacted acer and they are giving me free recovery dvds so dont go and pay for them just ask for them and they should give them to you,0
871,now when i order i did not go full scale for the webcam or full keyboard i wanted something for basics of being easy to carry when i use crutchs or wheelchair and with a backpack laptop bag,0
872,can listen to my music and watch my videos with ease and with a great display,0
873,otherwise all other features are a #,2
874,the performance is awesome,0
875,the display is beyond horrible,1
876,there is hardly any memory on the computers hard drive,1
877,actually i had noticed the one on the sales floor also didnt have sound,1
878,next most acer laptop fans are on the bottom which is right on your laptop,2
879,the laptop preformed pretty well,0
880,i got my macbook pro because i wanted to do all the stuff i need to do without worrying about the system quitting on me or freezing for a few minutes,2
881,i loved the netbook minus the fact that it was windows os until this started happening,1
882,the minute you fire it up its all good very easy user interface,0
883,  i actually contact toshiba before i started having problem and was given run around after i supplied serial number in order to delay me sending in laptop until after warrenty expired,1
884,theres also idvd a program dedicated to putting all your favorite media together photos recordings video projects into one program so that you can create the perfect memoir for your parents family siblings and any other person important in your life that there may be,0
885,after replacing the hard drive the battery stopped working  # months of use which was frustrating,1
886,i love the easy to see screen and it works well for work persoal or just play,0
887,if what you need is a machine to do some surfing email checking word processing and watching a movie or two this is the machine you want,2
888,the mouse pad and buttons are the worst ive ever seen,1
889,awesome graphics,0
890,it really is perfect for work and play,0
891,the pro is a great product i wish that the # inch models came with the intel i processors and had a more comfortable edge the edges hurt my wrists,1
892,one drawback i noticed was sound quality via usb,1
893,the battery life sucked the juice from my laptop and when the extended life battery went out we were sol there to so much for that warranty covering all the products we purchased,1
894,i have had another mac but it got slow due to an older operating system,1
895,thats very possible but since they dont make windows xp drivers for the sound card in this machine i was stuck until windows # came out,1
896,its nice to have the higherend laptops but this fits my budget and the features i need,0
897,was disappointed to find out that the model had been discontinued apparently because of known motherboard problems,1
898,well i started using google chrome which is a little better but it freezes too sometimes,2
899,also the speakers are not very loud but it is a netbook,1
900,love this laptop wonderful price for what you get,0
901,just a black screen,1
902,a key contributor that led me to mac is the art aspect,0
903,eventually my battery wouldnt charge so unless i had it plugged in it wouldnt even power on,1
904,purchased for development purposes but it has turned into my everyday laptop as well for surfing email etc,0
905,my first problem was with the preloaded norton firewallsecurity program,1
906,i had a usb connect but i cant use it because it is not compatible,1
907,accordingly i have decided to never purchase another hp product my five year old compaq lasted #years before the hard drive crashed,1
908,i know that everyone thinks macs are overpriced and overrated but once you get past the initial expense youll find that theyre worth every penny besides theres always the financing plan that best buy offers,1
909,i am not going to sit here and complain about it not having a cd drive and what not because it is a netbook it is made to be compact and if you want all the other stuff get a laptop,2
910,i love the multitouch trackpad,0
911,hp is more interested in selling extended warranties which cost more than the netbook new then they are in helping or fixing,1
912,not too much junk software to remove,0
913,system is loosing about # of performance because of that,1
914,it is easy to use good quality and good price,0
915,the difference in the apple keyboard from a pcs keyboard took a bit of tim to get used to but overall its worth it,2
916,the extended warranty for the # and up computers was the only one available for purchase on the drop drown menu,2
917,only issue is that it is a little slow and im fixing that by adding more ram,2
918,  the hard drive crashed as well and i had to buy a new  power cord,1
919,another issue i have with it is the battery,1
920,after # months of complaints asus finally sent the right power supply to my techies,2
921,that included the extra sony sonic stage software the speakers and the subwoofer i got that was worth the money the bluetooth mouse for my supposedly bluetooth enabled computer the extended life battery and the docking port,0
922,my macbook pro works like a dream it has never overheated or even been slightly warm for that matter,0
923,pc users use the powerpoint program for slideshow presentation and mac users utilize keynote,2
